Tipos de Cliente,client_type_seg_1,client_type_seg_2
TD  TIENDA DEPARTAMENTAL,TD  TIENDA DEPARTAMENTAL,Venues
HM  HIPERMERCADO,HM  HIPERMERCADO,SM  SUPER MERCADO
CP  CLUB DE PRECIOS,CP  CLUB DE PRECIOS,SM  SUPER MERCADO
CO  CORPORATIVOS,CO  CORPORATIVOS,Venues
HS  HOSPITALES,HS  HOSPITALES,Service
BB  BLOCKBUSTER,BB  BLOCKBUSTER,Otros Tradicional
EV  EVENTUAL,EV  EVENTUAL,Eventual
BG  BIG BANG BLITZ,BG  BIG BANG BLITZ,Pruebas
BX  CAPTURA CIERRE 2005,BX  CAPTURA CIERRE 2005,Pruebas
CM  COSMART,CM  COSMART,TC  TIENDA DE CONVE
PEP  CENTRO PEPSICO,PEP  CENTRO PEPSICO,Otros Tradicional
ZZ  BIG BANG III,ZZ  BIG BANG III,Pruebas
HG  CLIENTE GRAVITACIONAL,HG  CLIENTE GRAVITACIONAL,Pruebas
RU  MOVIL ON THE RUN,RU  MOVIL ON THE RUN,Pruebas
PV  VARIOS PARTICULAR,Escuelas,Escuelas
